14:20:59 2024/09/16 - 14:20:59 | 404 | 0s | ::1 | GET | 404 |  | -1 | /v1/login?id=15850512521&password=asdasd
14:23:40 2024/09/16 - 14:23:40 | 404 | 0s | ::1 | GET | 404 |  | -1 | /v1/login
14:23:40 2024/09/16 - 14:23:40 | 404 | 0s | ::1 | GET | 404 |  | -1 | /favicon.ico
14:24:21 2024/09/16 - 14:24:21 | 200 | 15.2597ms | ::1 | POST | 200 |  | 345 | /v1/login
14:41:59 2024/09/16 - 14:41:59 | 200 | 14.7767ms | ::1 | POST | 200 |  | 345 | /v1/login
14:42:19 2024/09/16 - 14:42:19 | 200 | 1.3283ms | ::1 | POST | 200 |  | 345 | /v1/login
14:43:03 2024/09/16 - 14:43:03 | 200 | 4.4097ms | ::1 | POST | 200 |  | 345 | /v1/login
14:57:33 2024/09/16 - 14:57:33 | 200 | 19.9907ms | ::1 | POST | 200 |  | 345 | /v1/login
14:57:44 2024/09/16 - 14:57:44 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
14:58:56 2024/09/16 - 14:58:56 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
14:59:30 2024/09/16 - 14:59:30 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
15:00:53 2024/09/16 - 15:00:53 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
15:00:56 2024/09/16 - 15:00:56 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
15:01:35 2024/09/16 - 15:01:35 | 200 | 2.029ms | ::1 | GET | 200 |  | 43 | /v1/t1
15:01:35 2024/09/16 - 15:01:35 | 200 | 1.161ms | ::1 | GET | 200 |  | 43 | /v1/t1
15:01:54 2024/09/16 - 15:01:54 | 200 | 2.3585ms | ::1 | GET | 200 |  | 43 | /v1/t1
15:02:21 2024/09/16 - 15:02:21 | 200 | 1.1283ms | ::1 | GET | 200 |  | 43 | /v1/t1
15:02:31 2024/09/16 - 15:02:31 | 200 | 6.1712ms | ::1 | POST | 200 |  | 345 | /v1/login
15:02:33 2024/09/16 - 15:02:33 | 200 | 634.9µs | ::1 | GET | 200 |  | 143 | /v1/t1
15:03:09 2024/09/16 - 15:03:09 | 200 | 1.2119ms | ::1 | GET | 200 |  | 52 | /v1/t1
15:03:09 2024/09/16 - 15:03:09 | 200 | 1.069ms | ::1 | GET | 200 |  | 176 | /v1/refresh_token
15:03:09 2024/09/16 - 15:03:09 | 200 | 0s | ::1 | GET | 200 |  | 43 | /v1/t1
15:03:22 2024/09/16 - 15:03:22 | 200 | 3.7264ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:34 2024/09/16 - 18:56:34 | 200 | 19.6763ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:35 2024/09/16 - 18:56:35 | 200 | 3.8698ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:36 2024/09/16 - 18:56:36 | 200 | 2.6501ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:37 2024/09/16 - 18:56:37 | 200 | 1.8984ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:38 2024/09/16 - 18:56:38 | 200 | 1.8719ms | ::1 | POST | 200 |  | 345 | /v1/login
18:56:39 2024/09/16 - 18:56:39 | 200 | 2.2452ms | ::1 | POST | 200 |  | 345 | /v1/login
18:57:27 2024/09/16 - 18:57:27 | 200 | 1.8135ms | ::1 | POST | 200 |  | 345 | /v1/login
18:57:39 2024/09/16 - 18:57:39 | 200 | 1.2061ms | ::1 | POST | 200 |  | 345 | /v1/login
18:57:41 2024/09/16 - 18:57:41 | 200 | 0s | ::1 | POST | 200 |  | 46 | /v1/login
18:57:48 2024/09/16 - 18:57:48 | 200 | 3.8161ms | ::1 | POST | 200 |  | 345 | /v1/login
18:58:03 2024/09/16 - 18:58:03 | 200 | 4.7803ms | ::1 | POST | 200 |  | 345 | /v1/login
18:59:50 2024/09/16 - 18:59:50 | 200 | 3.2884ms | ::1 | POST | 200 |  | 345 | /v1/login
18:59:51 2024/09/16 - 18:59:51 | 404 | 0s | ::1 | GET | 404 |  | -1 | /v1/t1
18:59:54 2024/09/16 - 18:59:54 | 404 | 0s | ::1 | GET | 404 |  | -1 | /v1/t1
