12:11:20 2024/09/20 - 12:11:20 | 200 | 15.1453ms | ::1 | GET |  | 52 | /v1/friend_request | 
12:11:20 2024/09/20 - 12:11:20 | 200 | 2.6171ms | ::1 | GET |  | 176 | /v1/refresh_token | 
12:11:20 2024/09/20 - 12:11:20 | 200 | 2.0707ms | ::1 | GET |  | 217 | /v1/friend_request | 
12:11:21 2024/09/20 - 12:11:21 | 200 | 2.9382ms | ::1 | GET |  | 321 | /v1/friend | 
12:34:34 2024/09/20 - 12:34:34 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
12:34:40 2024/09/20 - 12:34:40 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
12:35:00 2024/09/20 - 12:35:00 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
12:35:00 2024/09/20 - 12:35:00 | 404 | 0s | ::1 | GET |  | -1 | /favicon.ico | 
12:35:42 2024/09/20 - 12:35:42 | 200 | 14.8748ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundaryD0P1Q4O2GMogUQwG | 338 | /v1/login | 
12:37:00 2024/09/20 - 12:37:00 | 200 | 16.6293ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundaryQMBJmbLzRgaeWpfx | 338 | /v1/login | 
12:39:17 2024/09/20 - 12:39:17 | 404 | 0s | ::1 | POST |  | -1 | /v1/chat_message?uuid=94363586037551104 | 
12:39:32 2024/09/20 - 12:39:32 | 200 | 10.0544ms | ::1 | GET |  | 50 | /v1/chat_message?uuid=94363586037551104 | 
12:40:14 2024/09/20 - 12:40:14 | 200 | 18.1034ms | ::1 | GET |  | 66 | /v1/chat_message?uuid=94363586037551104 | 
12:40:40 2024/09/20 - 12:40:40 | 200 | 599.2µs | ::1 | GET |  | 52 | /v1/friend_request | 
12:40:40 2024/09/20 - 12:40:40 | 200 | 1.7943ms | ::1 | GET |  | 176 | /v1/refresh_token | 
12:40:40 2024/09/20 - 12:40:40 | 200 | 1.7037ms | ::1 | GET |  | 217 | /v1/friend_request | 
12:40:40 2024/09/20 - 12:40:40 | 200 | 1.6097ms | ::1 | GET |  | 321 | /v1/friend | 
12:40:52 2024/09/20 - 12:40:52 | 200 | 1.1891ms | ::1 | GET |  | 217 | /v1/friend_request | 
12:40:52 2024/09/20 - 12:40:52 | 200 | 1.2026ms | ::1 | GET |  | 321 | /v1/friend | 
12:41:01 2024/09/20 - 12:41:01 | 200 | 1.1586ms | ::1 | GET |  | 217 | /v1/friend_request | 
12:41:01 2024/09/20 - 12:41:01 | 200 | 2.0602ms | ::1 | GET |  | 321 | /v1/friend | 
13:00:34 2024/09/20 - 13:00:34 | 200 | 18.2087ms | ::1 | GET |  | 52 | /v1/friend_request | 
13:00:34 2024/09/20 - 13:00:34 | 200 | 2.4579ms | ::1 | GET |  | 176 | /v1/refresh_token | 
13:00:34 2024/09/20 - 13:00:34 | 200 | 3.9897ms | ::1 | GET |  | 217 | /v1/friend_request | 
13:00:34 2024/09/20 - 13:00:34 | 200 | 3.5424ms | ::1 | GET |  | 321 | /v1/friend | 
13:00:41 2024/09/20 - 13:00:41 | 200 | 1.1416ms | ::1 | GET |  | 217 | /v1/friend_request | 
13:00:41 2024/09/20 - 13:00:41 | 200 | 2.4988ms | ::1 | GET |  | 321 | /v1/friend | 
13:02:06 2024/09/20 - 13:02:06 | 200 | 19.2627ms | ::1 | GET |  | 217 | /v1/friend_request | 
13:02:06 2024/09/20 - 13:02:06 | 200 | 3.2607ms | ::1 | GET |  | 327 | /v1/friend | 
13:02:41 2024/09/20 - 13:02:41 | 200 | 1.4894ms | ::1 | GET |  | 217 | /v1/friend_request | 
13:02:41 2024/09/20 - 13:02:41 | 200 | 3.5663ms | ::1 | GET |  | 327 | /v1/friend | 
13:02:42 2024/09/20 - 13:02:42 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
13:04:38 2024/09/20 - 13:04:38 | 200 | 5.3844ms | ::1 | GET |  | 52 | /v1/chat_message?uuid=94363586037551104 | 
13:04:43 2024/09/20 - 13:04:43 | 200 | 2.6939ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundary122jB1hdMNRZfrfe | 338 | /v1/login | 
13:04:58 2024/09/20 - 13:04:58 | 200 | 3.2616ms | ::1 | GET |  | 66 | /v1/chat_message?uuid=94363586037551104 | 
13:06:13 2024/09/20 - 13:06:13 | 200 | 17.0998ms | ::1 | GET |  | 66 | /v1/chat_message?uuid=94363586037551104 | 
13:07:05 2024/09/20 - 13:07:05 | 200 | 3.2852ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundaryjvsAnk9wAhRBjJqx | 338 | /v1/login | 
13:08:47 2024/09/20 - 13:08:47 | 200 | 16.4509ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundarySRvoAMMrnD7ao7We | 338 | /v1/login | 
13:09:03 2024/09/20 - 13:09:03 | 200 | 2.1986ms | ::1 | GET |  | 47 | /v1/chat_message?uuid=94363586037551104 | 
13:09:48 2024/09/20 - 13:09:48 | 200 | 1.2407ms | ::1 | GET |  | 66 | /v1/chat_message?uuid=94696602635079680 | 
13:17:47 2024/09/20 - 13:17:47 | 200 | 17.5588ms | ::1 | GET |  | 52 | /v1/chat_message?uuid=94696602635079680 | 
13:19:12 2024/09/20 - 13:19:12 | 200 | 4.1617ms | ::1 | POST | multipart/form-data; boundary=----WebKitFormBoundarypQ3CPsxiSjpO5hjF | 338 | /v1/login | 
13:19:34 2024/09/20 - 13:19:34 | 200 | 1.6181ms | ::1 | GET |  | 66 | /v1/chat_message?uuid=94696602635079680 | 
13:27:57 2024/09/20 - 13:27:57 | 200 | 18.0854ms | ::1 | POST | application/x-www-form-urlencoded | 338 | /v1/login | 
13:56:03 2024/09/20 - 13:56:03 | 200 | 26.8517ms | ::1 | POST | application/x-www-form-urlencoded | 338 | /v1/login | 
13:57:09 2024/09/20 - 13:57:09 | 200 | 11.1054ms | ::1 | POST | application/x-www-form-urlencoded | 338 | /v1/login | 
