16:43:10 2024/09/22 - 16:43:10 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=93273802959491072 | 
16:44:40 2024/09/22 - 16:44:40 | 200 | 10.6393ms | ::1 | GET |  | 45 | /v1/friend_request | 
16:44:59 2024/09/22 - 16:44:59 | 200 | 2.8322ms | ::1 | POST | application/json | 338 | /v1/login | 
16:45:15 2024/09/22 - 16:45:15 | 200 | 2.6491ms | ::1 | POST | application/json | 338 | /v1/login | 
16:46:45 2024/09/22 - 16:46:45 | 200 | 19.4209ms | ::1 | GET |  | 217 | /v1/friend_request | 
16:46:45 2024/09/22 - 16:46:45 | 200 | 4.6791ms | ::1 | GET |  | 327 | /v1/friend | 
17:05:55 2024/09/22 - 17:05:55 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:06:11 2024/09/22 - 17:06:11 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:07:33 2024/09/22 - 17:07:33 | 200 | 6.6643ms | ::1 | GET |  | 52 | /v1/friend_request | 
17:07:33 2024/09/22 - 17:07:33 | 200 | 509.2µs | ::1 | GET |  | 176 | /v1/refresh_token | 
17:07:33 2024/09/22 - 17:07:33 | 200 | 1.2607ms | ::1 | GET |  | 217 | /v1/friend_request | 
17:07:33 2024/09/22 - 17:07:33 | 200 | 2.1931ms | ::1 | GET |  | 327 | /v1/friend | 
17:07:34 2024/09/22 - 17:07:34 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:11:24 2024/09/22 - 17:11:24 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:11:30 2024/09/22 - 17:11:30 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:11:35 2024/09/22 - 17:11:35 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:12:11 2024/09/22 - 17:12:11 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:12:47 2024/09/22 - 17:12:47 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:12:51 2024/09/22 - 17:12:51 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:15:59 2024/09/22 - 17:15:59 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:16:32 2024/09/22 - 17:16:32 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:16:37 2024/09/22 - 17:16:37 | 200 | 0s | ::1 | GET |  | 48 | /v1/chat_message?uuid=94363586037551104 | 
17:59:34 2024/09/22 - 17:59:34 | 200 | 14.2261ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
18:20:57 2024/09/22 - 18:20:57 | 200 | 10.1877ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
18:31:20 2024/09/22 - 18:31:20 | 200 | 13.3137ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
18:50:46 2024/09/22 - 18:50:46 | 200 | 12.227ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
19:06:13 2024/09/22 - 19:06:13 | 200 | 8.5634ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
19:07:15 2024/09/22 - 19:07:15 | 200 | 12.9563ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
19:07:58 2024/09/22 - 19:07:58 | 200 | 12.2383ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
19:08:10 2024/09/22 - 19:08:10 | 200 | 10.9321ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
