08:56:31 2024/09/24 - 08:56:31 | 404 | 0s | ::1 | GET |  | -1 | /message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
08:58:58 2024/09/24 - 08:58:58 | 200 | 23.7732ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:00:09 2024/09/24 - 09:00:09 | 200 | 13.3865ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:30:02 2024/09/24 - 09:30:02 | 200 | 11.1865ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:30:14 2024/09/24 - 09:30:14 | 200 | 1.2186ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:40:40 2024/09/24 - 09:40:40 | 200 | 12.81ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:42:15 2024/09/24 - 09:42:15 | 200 | 12.9232ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:45:24 2024/09/24 - 09:45:24 | 200 | 9.9876ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:46:45 2024/09/24 - 09:46:45 | 200 | 14.1913ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:47:41 2024/09/24 - 09:47:41 | 200 | 18.8353ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
09:49:03 2024/09/24 - 09:49:03 | 200 | 12.4441ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
10:24:15 2024/09/24 - 10:24:15 | 200 | 12.0759ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
10:31:55 2024/09/24 - 10:31:55 | 200 | 13.2993ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
10:37:22 2024/09/24 - 10:37:22 | 200 | 11.4582ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
11:11:58 2024/09/24 - 11:11:58 | 200 | 13.0573ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
11:12:37 2024/09/24 - 11:12:37 | 200 | 13.1153ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
11:31:40 2024/09/24 - 11:31:40 | 200 | 21.6079ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
11:42:00 2024/09/24 - 11:42:00 | 200 | 13.0994ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
11:46:45 2024/09/24 - 11:46:45 | 200 | 7.7912ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=94363586037551104&friend_uuid=93273802959491072 | 
11:50:20 2024/09/24 - 11:50:20 | 200 | 6.9326ms | ::1 | GET |  | 50 | /v1/chat_message?uuid=93273802959491072&friend_uuid=1 | 
11:50:39 2024/09/24 - 11:50:39 | 200 | 598.7µs | ::1 | GET |  | 50 | /v1/chat_message?uuid=93273802959491072&friend_uuid=1 | 
11:51:11 2024/09/24 - 11:51:11 | 200 | 1.0844ms | ::1 | GET |  | 50 | /v1/chat_message?uuid=93273802959491072&friend_uuid=12222 | 
11:51:56 2024/09/24 - 11:51:56 | 200 | 1.1571ms | ::1 | GET |  | 0 | /v1/chat_message?uuid=93273802959491072&friend_uuid=94363586037551104 | 
12:07:17 2024/09/24 - 12:07:17 | 200 | 10.8378ms | ::1 | GET |  | 50 | /v1/chat_message?uuid=93273802959491072&friend_uuid=12222 | 
12:33:14 2024/09/24 - 12:33:14 | 200 | 7.2199ms | ::1 | GET |  | 50 | /v1/chat_message?uuid=93273802959491072&friend_uuid=null | 
