18:02:08 2024/09/27 - 18:02:08 | 200 | 15.2777ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCc0I89XJ81wUAm-4ZYQd25ZWl2w0kzyFXhr6Ykfe0achtfwL9RIm9E8aVucwPOJ5QA== | 
18:03:43 2024/09/27 - 18:03:43 | 200 | 2.0054ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCc0I89XJ81wUAm-4ZYQd25ZWl2w0kzyFXhr6Ykfe0achtfwL9RIm9E8aVucwPOJ5QA== | 
18:04:27 2024/09/27 - 18:04:27 | 200 | 4.5714ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCc0I89XJ81wUAm-4ZYQd25ZWl2w0kzyFXhr6Ykfe0achtfwL9RIm9E8aVucwPOJ5QA== | 
18:04:31 2024/09/27 - 18:04:31 | 200 | 1.3361ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCc0I89XJ81wUAm-4ZYQd25ZWl2w0kzyFXhr6Ykfe0achtfwL9RIm9E8aVucwPOJ5QA== | 
18:04:44 2024/09/27 - 18:04:44 | 200 | 507.7µs | ::1 | GET |  | 52 | /v1/friend_request | 
18:04:44 2024/09/27 - 18:04:44 | 200 | 1.1025ms | ::1 | GET |  | 176 | /v1/refresh_token | 
18:04:44 2024/09/27 - 18:04:44 | 200 | 1.86ms | ::1 | GET |  | 207 | /v1/friend_request | 
18:04:44 2024/09/27 - 18:04:44 | 200 | 1.0401ms | ::1 | GET |  | 224 | /v1/friend | 
18:04:45 2024/09/27 - 18:04:45 | 200 | 1.9157ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCdAkfpzvvhar18NWLZE8moLG8Hvr7dAe-kkYLWxdPbcPEXmK0fpGse6ZpcadrnbM6g== | 
18:24:09 2024/09/27 - 18:24:09 | 200 | 10.192ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCdAkfpzvvhar18NWLZE8moLG8Hvr7dAe-kkYLWxdPbcPEXmK0fpGse6ZpcadrnbM6g== | 
18:24:24 2024/09/27 - 18:24:24 | 200 | 2.0795ms | ::1 | GET |  | 52 | /v1/friend_request | 
18:24:24 2024/09/27 - 18:24:24 | 200 | 2.2514ms | ::1 | GET |  | 176 | /v1/refresh_token | 
18:24:24 2024/09/27 - 18:24:24 | 200 | 2.0704ms | ::1 | GET |  | 207 | /v1/friend_request | 
18:24:24 2024/09/27 - 18:24:24 | 200 | 3.0895ms | ::1 | GET |  | 224 | /v1/friend | 
18:24:25 2024/09/27 - 18:24:25 | 200 | 1.6084ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCRrrdMdRoI_nMGcgSKw5y_KWW1dc1Hbl3apaqFNhnsc9HvCDtcHZiDpGWNw243GBeA== | 
18:24:47 2024/09/27 - 18:24:47 | 200 | 1.2463ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCRrrdMdRoI_nMGcgSKw5y_KWW1dc1Hbl3apaqFNhnsc9HvCDtcHZiDpGWNw243GBeA== | 
18:24:56 2024/09/27 - 18:24:56 | 200 | 1.6446ms | ::1 | GET |  | 207 | /v1/friend_request | 
18:24:56 2024/09/27 - 18:24:56 | 200 | 2.4421ms | ::1 | GET |  | 224 | /v1/friend | 
18:24:58 2024/09/27 - 18:24:58 | 200 | 1.0582ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCRrrdMdRoI_nMGcgSKw5y_KWW1dc1Hbl3apaqFNhnsc9HvCDtcHZiDpGWNw243GBeA== | 
18:26:17 2024/09/27 - 18:26:17 | 200 | 12.3445ms | ::1 | POST | application/json | 338 | /v1/login | 
18:26:19 2024/09/27 - 18:26:19 | 200 | 1.6791ms | ::1 | GET |  | 207 | /v1/friend_request | 
18:26:19 2024/09/27 - 18:26:19 | 200 | 1.6225ms | ::1 | GET |  | 224 | /v1/friend | 
18:26:23 2024/09/27 - 18:26:23 | 200 | 1.7242ms | ::1 | GET |  | 0 | /v1/chat_message?friend_uuid=93273802959491072&token=hGxOsTsssSK1PRGjVw0ZVZkaQJC8IdvXJXpPuuOvzKkjUUP0LO7KQVYbOvzHHoNij8iKIr6SY9omFMJ3xW9zzg== | 
19:05:17 2024/09/27 - 19:05:17 | 200 | 11.5088ms | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=94363586037551104&token=xdJOR1VHkP2ghOQqk5jPCRrrdMdRoI_nMGcgSKw5y_KWW1dc1Hbl3apaqFNhnsc9HvCDtcHZiDpGWNw243GBeA== | 
19:05:30 2024/09/27 - 19:05:30 | 200 | 744.1µs | ::1 | GET |  | 52 | /v1/chat_message?friend_uuid=93273802959491072&token=hGxOsTsssSK1PRGjVw0ZVZkaQJC8IdvXJXpPuuOvzKkjUUP0LO7KQVYbOvzHHoNij8iKIr6SY9omFMJ3xW9zzg== | 
