10:02:29 2024/09/28 - 10:02:29 | 502 | 17.1326ms | 127.0.0.1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
10:02:31 2024/09/28 - 10:02:31 | 502 | 1.5822ms | 127.0.0.1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
10:02:38 2024/09/28 - 10:02:38 | 502 | 10.1556ms | 127.0.0.1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
10:02:42 2024/09/28 - 10:02:42 | 502 | 4.4101ms | 127.0.0.1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
10:12:04 2024/09/28 - 10:12:04 | 502 | 15.655ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:18:37 2024/09/28 - 11:18:37 | 502 | 36.5512ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:19:01 2024/09/28 - 11:19:01 | 502 | 14.1424ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:19:09 2024/09/28 - 11:19:09 | 502 | 9.9067ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:20:42 2024/09/28 - 11:20:42 | 502 | 11.3021ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:20:43 2024/09/28 - 11:20:43 | 404 | 0s | ::1 | GET |  | -1 | /v1/t1 | 
11:20:47 2024/09/28 - 11:20:47 | 404 | 0s | ::1 | GET |  | -1 | /v1/t1 | 
11:20:52 2024/09/28 - 11:20:52 | 404 | 0s | ::1 | GET |  | -1 | /v1/t1 | 
11:20:56 2024/09/28 - 11:20:56 | 502 | 9.165ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
11:22:31 2024/09/28 - 11:22:31 | 404 | 0s | ::1 | GET |  | -1 | /v1/t1 | 
11:22:36 2024/09/28 - 11:22:36 | 502 | 9.5218ms | ::1 | GET |  | 157 | /v1/friend_request | 连接数据库失败, error:dial tcp [::1]:3306: connectex: No connection could be made because the target machine actively refused it.
